n,time,total_time,nodes,results
4,0.00015497207641601562,0.00015497207641601562,4,"{'3': 1, '1': 2, '2': 4, '4': 3}"
5,0.000324249267578125,0.0004792213439941406,5,"{'1': 1, '3': 2, '5': 3, '2': 4, '4': 5}"
6,0.0014190673828125,0.0018982887268066406,11,"{'1': 2, '2': 4, '3': 6, '5': 3, '6': 5, '4': 1}"
7,0.0014009475708007812,0.003299236297607422,8,"{'1': 1, '2': 3, '4': 7, '3': 5, '5': 2, '7': 6, '6': 4}"
8,0.0076868534088134766,0.010986089706420898,22,"{'1': 1, '2': 5, '3': 8, '8': 4, '5': 3, '7': 2, '6': 7, '4': 6}"
9,0.007284879684448242,0.01827096939086914,14,"{'1': 1, '2': 3, '8': 4, '5': 8, '7': 9, '3': 7, '6': 5, '9': 6, '4': 2}"
10,0.008234977722167969,0.02650594711303711,10,"{'1': 1, '2': 3, '8': 2, '6': 5, '5': 10, '7': 9, '3': 6, '10': 7, '9': 4, '4': 8}"
11,0.053948163986206055,0.08045411109924316,47,"{'1': 1, '2': 3, '8': 4, '10': 5, '6': 8, '5': 2, '7': 11, '3': 6, '9': 7, '11': 10, '4': 9}"
12,0.042877912521362305,0.12333202362060547,28,"{'1': 1, '2': 3, '8': 2, '11': 6, '10': 8, '7': 4, '5': 7, '12': 11, '3': 10, '6': 9, '9': 5, '4': 12}"
13,0.034711599349975586,0.15804362297058105,14,"{'1': 1, '2': 3, '8': 2, '11': 4, '12': 7, '10': 6, '5': 9, '13': 10, '7': 5, '3': 8, '6': 12, '9': 11, '4': 13}"
14,0.12108325958251953,0.2791268825531006,48,"{'1': 1, '2': 3, '8': 2, '13': 4, '11': 8, '12': 10, '5': 7, '9': 5, '10': 14, '7': 6, '3': 13, '14': 9, '6': 12, '4': 11}"
15,0.16310405731201172,0.4422309398651123,61,"{'1': 1, '2': 3, '8': 2, '13': 4, '11': 7, '14': 6, '9': 15, '5': 14, '7': 9, '3': 11, '12': 10, '10': 13, '15': 12, '6': 5, '4': 8}"
16,0.2011098861694336,0.6433408260345459,53,"{'1': 1, '2': 3, '8': 2, '13': 4, '11': 7, '14': 6, '9': 13, '12': 11, '15': 12, '7': 9, '5': 8, '3': 16, '10': 5, '6': 15, '16': 14, '4': 10}"
