n,time,total_time,nodes,results
4,0.0001690387725830078,0.0001690387725830078,6,"{'2': 1, '3': 4, '1': 3, '4': 2}"
5,0.00013494491577148438,0.0003039836883544922,5,"{'3': 1, '2': 3, '4': 4, '1': 5, '5': 2}"
6,0.0005881786346435547,0.0008921623229980469,29,"{'4': 1, '3': 6, '2': 4, '5': 3, '1': 2, '6': 5}"
7,0.0005052089691162109,0.0013973712921142578,18,"{'4': 1, '5': 3, '3': 6, '2': 4, '6': 5, '1': 2, '7': 7}"
8,0.0007312297821044922,0.00212860107421875,20,"{'4': 1, '5': 3, '6': 5, '3': 6, '2': 8, '7': 7, '1': 2, '8': 4}"
9,0.0019006729125976562,0.004029273986816406,51,"{'5': 1, '6': 3, '4': 4, '7': 9, '3': 7, '2': 5, '8': 6, '1': 2, '9': 8}"
10,0.002237081527709961,0.006266355514526367,44,"{'6': 1, '5': 3, '4': 5, '7': 6, '8': 2, '3': 8, '2': 10, '9': 9, '10': 7, '1': 4}"
11,0.0041539669036865234,0.01042032241821289,61,"{'6': 1, '5': 3, '7': 4, '8': 2, '4': 9, '9': 8, '3': 6, '2': 10, '10': 11, '1': 5, '11': 7}"
12,0.017534971237182617,0.027955293655395508,226,"{'6': 1, '7': 3, '8': 5, '5': 4, '9': 10, '4': 8, '10': 12, '3': 11, '2': 2, '11': 9, '1': 7, '12': 6}"
13,0.027724027633666992,0.0556793212890625,254,"{'7': 1, '6': 3, '8': 4, '9': 2, '5': 8, '4': 10, '10': 11, '11': 9, '3': 7, '2': 13, '12': 12, '13': 5, '1': 6}"
14,0.10220503807067871,0.1578843593597412,772,"{'8': 1, '7': 3, '6': 5, '9': 4, '5': 7, '10': 10, '4': 13, '11': 12, '12': 9, '3': 11, '2': 14, '13': 2, '1': 6, '14': 8}"
15,0.08636283874511719,0.2442471981048584,494,"{'8': 1, '9': 3, '7': 4, '6': 2, '10': 5, '5': 9, '11': 10, '12': 13, '4': 12, '13': 11, '3': 15, '2': 8, '14': 14, '1': 6, '15': 7}"
16,0.06647777557373047,0.31072497367858887,287,"{'9': 1, '8': 3, '10': 4, '7': 5, '6': 2, '11': 8, '12': 11, '5': 15, '13': 13, '4': 12, '14': 16, '3': 10, '2': 7, '15': 6, '1': 14, '16': 9}"
17,0.2572648525238037,0.5679898262023926,925,"{'9': 1, '8': 3, '10': 4, '11': 2, '7': 5, '12': 8, '6': 9, '13': 13, '5': 12, '14': 11, '4': 14, '15': 17, '3': 16, '2': 7, '16': 6, '1': 15, '17': 10}"
18,0.0692899227142334,0.637279748916626,183,"{'9': 1, '10': 3, '8': 4, '11': 5, '12': 2, '7': 8, '13': 10, '6': 11, '14': 12, '5': 14, '15': 15, '4': 17, '16': 18, '3': 6, '2': 9, '17': 16, '18': 13, '1': 7}"
19,1.973564863204956,2.610844612121582,4323,"{'10': 1, '9': 3, '11': 4, '12': 2, '8': 5, '13': 8, '7': 9, '14': 10, '6': 12, '15': 13, '5': 14, '4': 18, '16': 16, '17': 6, '3': 7, '2': 15, '18': 17, '19': 11, '1': 19}"
20,0.34075117111206055,2.9515957832336426,446,"{'10': 1, '11': 3, '12': 5, '9': 4, '13': 2, '8': 8, '14': 10, '7': 11, '6': 13, '15': 12, '5': 16, '16': 6, '4': 19, '17': 15, '18': 20, '3': 17, '2': 7, '19': 18, '1': 9, '20': 14}"
21,9.03984785079956,11.991443634033203,13302,"{'11': 1, '12': 3, '10': 4, '13': 5, '9': 2, '14': 9, '8': 8, '15': 11, '7': 10, '6': 13, '16': 14, '5': 15, '17': 16, '18': 7, '4': 18, '3': 21, '19': 20, '2': 19, '20': 17, '21': 6, '1': 12}"
22,5.842978000640869,17.834421634674072,7233,"{'12': 1, '11': 3, '13': 4, '10': 5, '14': 2, '9': 9, '15': 8, '8': 11, '7': 13, '16': 10, '6': 15, '17': 14, '18': 20, '5': 17, '4': 21, '19': 18, '3': 7, '20': 16, '2': 22, '21': 19, '1': 6, '22': 12}"
23,210.26750802993774,228.10192966461182,218039,"{'12': 1, '13': 3, '11': 4, '14': 5, '10': 2, '9': 8, '15': 9, '8': 6, '16': 12, '17': 14, '7': 13, '18': 18, '6': 17, '5': 20, '19': 21, '4': 22, '20': 7, '21': 16, '3': 15, '2': 19, '22': 23, '23': 11, '1': 10}"
