n,time,total_time,nodes,results
4,0.00012183189392089844,0.00012183189392089844,8,"{'4': 2, '3': 4, '2': 1, '1': 3}"
5,8.606910705566406e-05,0.0002079010009765625,5,"{'4': 1, '3': 3, '5': 4, '2': 5, '1': 2}"
6,0.000244140625,0.0004520416259765625,13,"{'4': 1, '2': 4, '3': 6, '1': 2, '6': 5, '5': 3}"
7,0.00025963783264160156,0.0007116794586181641,10,"{'4': 1, '2': 2, '7': 3, '6': 7, '5': 4, '3': 5, '1': 6}"
8,0.0002741813659667969,0.000985860824584961,8,"{'4': 1, '2': 2, '7': 3, '8': 6, '6': 5, '3': 4, '5': 7, '1': 8}"
9,0.0006051063537597656,0.0015909671783447266,14,"{'4': 1, '2': 2, '9': 3, '7': 9, '8': 6, '6': 5, '5': 8, '1': 7, '3': 4}"
10,0.0006978511810302734,0.002288818359375,11,"{'4': 1, '10': 2, '2': 4, '3': 6, '7': 3, '5': 9, '8': 8, '9': 10, '6': 5, '1': 7}"
11,0.0024597644805908203,0.00474858283996582,37,"{'4': 1, '10': 2, '2': 4, '9': 5, '11': 10, '7': 11, '3': 6, '6': 7, '5': 3, '8': 8, '1': 9}"
12,0.0046329498291015625,0.009381532669067383,49,"{'12': 1, '4': 2, '10': 4, '11': 6, '9': 10, '7': 11, '8': 8, '5': 7, '3': 12, '1': 9, '2': 5, '6': 3}"
13,0.003777027130126953,0.013158559799194336,25,"{'12': 1, '4': 2, '10': 4, '11': 6, '9': 9, '13': 10, '6': 5, '5': 7, '1': 8, '3': 12, '2': 3, '7': 13, '8': 11}"
14,0.0072519779205322266,0.020410537719726562,45,"{'12': 1, '4': 2, '10': 4, '11': 6, '9': 9, '13': 10, '14': 7, '5': 11, '8': 12, '3': 8, '7': 3, '6': 13, '2': 5, '1': 14}"
15,0.006194353103637695,0.026604890823364258,21,"{'12': 1, '4': 2, '10': 4, '11': 6, '9': 9, '3': 5, '13': 3, '6': 13, '7': 15, '5': 10, '2': 8, '8': 12, '1': 11, '14': 7, '15': 14}"
16,0.008249044418334961,0.03485393524169922,28,"{'12': 1, '16': 2, '4': 3, '2': 4, '6': 6, '10': 5, '11': 8, '3': 7, '14': 12, '15': 9, '9': 16, '13': 14, '8': 13, '7': 15, '5': 11, '1': 10}"
17,0.013176679611206055,0.04803061485290527,30,"{'12': 1, '17': 2, '16': 4, '4': 3, '8': 6, '9': 9, '6': 10, '2': 7, '3': 5, '11': 17, '10': 13, '13': 8, '7': 15, '14': 11, '15': 16, '5': 12, '1': 14}"
18,0.017641782760620117,0.06567239761352539,29,"{'12': 1, '18': 2, '17': 4, '4': 3, '8': 6, '9': 9, '13': 10, '6': 11, '5': 7, '15': 16, '16': 12, '3': 13, '2': 8, '14': 5, '1': 14, '10': 17, '11': 15, '7': 18}"
19,0.020376205444335938,0.08604860305786133,37,"{'12': 1, '18': 2, '17': 4, '4': 3, '2': 6, '3': 8, '6': 9, '10': 7, '1': 11, '7': 15, '8': 17, '9': 5, '15': 13, '14': 16, '16': 10, '11': 18, '5': 19, '13': 14, '19': 12}"
20,0.018476009368896484,0.10452461242675781,20,"{'12': 1, '17': 2, '18': 4, '16': 7, '20': 8, '10': 5, '4': 3, '11': 9, '9': 12, '3': 11, '5': 6, '2': 14, '6': 19, '7': 17, '8': 10, '1': 16, '14': 18, '19': 15, '15': 20, '13': 13}"
21,0.060159921646118164,0.16468453407287598,75,"{'12': 1, '17': 2, '16': 4, '18': 5, '4': 3, '21': 7, '11': 6, '2': 8, '3': 11, '7': 9, '8': 13, '9': 18, '10': 21, '15': 15, '13': 20, '14': 12, '19': 10, '6': 16, '5': 19, '20': 14, '1': 17}"
22,0.05008101463317871,0.2147655487060547,48,"{'12': 1, '17': 2, '16': 4, '20': 3, '4': 5, '2': 6, '1': 9, '3': 8, '10': 7, '7': 14, '11': 11, '5': 19, '6': 12, '13': 22, '9': 20, '8': 18, '14': 13, '15': 10, '18': 16, '22': 15, '21': 17, '19': 21}"
23,0.050418853759765625,0.2651844024658203,40,"{'12': 1, '17': 2, '16': 4, '20': 3, '4': 5, '2': 6, '1': 9, '3': 8, '10': 7, '7': 14, '11': 11, '15': 10, '5': 19, '9': 18, '13': 16, '14': 20, '8': 23, '6': 22, '18': 12, '21': 17, '19': 21, '23': 13, '22': 15}"
24,0.05012321472167969,0.3153076171875,24,"{'12': 1, '17': 2, '16': 4, '20': 3, '24': 5, '5': 6, '4': 8, '10': 7, '2': 12, '3': 15, '9': 16, '7': 9, '6': 20, '1': 14, '8': 13, '14': 10, '22': 17, '18': 18, '15': 23, '11': 22, '13': 19, '21': 24, '19': 11, '23': 21}"
25,0.07019186019897461,0.3854994773864746,40,"{'12': 1, '17': 2, '16': 4, '25': 3, '4': 5, '3': 7, '5': 10, '1': 11, '11': 6, '2': 9, '13': 12, '15': 8, '14': 16, '20': 14, '19': 17, '21': 18, '18': 24, '24': 20, '23': 23, '9': 22, '10': 19, '8': 25, '7': 15, '22': 13, '6': 21}"
