n,time,total_time,nodes,results
4,7.700920104980469e-05,7.700920104980469e-05,4,"{'2': 1, '1': 3, '3': 4, '4': 2}"
5,8.821487426757812e-05,0.0001652240753173828,5,"{'1': 1, '2': 3, '3': 5, '4': 2, '5': 4}"
6,0.00034308433532714844,0.0005083084106445312,22,"{'1': 2, '2': 4, '5': 3, '3': 6, '4': 1, '6': 5}"
7,0.0002028942108154297,0.0007112026214599609,9,"{'1': 1, '3': 2, '7': 4, '6': 7, '5': 3, '2': 5, '4': 6}"
8,0.0011668205261230469,0.0018780231475830078,47,"{'1': 1, '3': 4, '5': 8, '4': 6, '2': 7, '7': 5, '8': 3, '6': 2}"
9,0.00048279762268066406,0.002360820770263672,12,"{'1': 1, '3': 2, '8': 3, '7': 8, '6': 4, '9': 5, '5': 7, '2': 6, '4': 9}"
10,0.002882719039916992,0.005243539810180664,66,"{'1': 1, '3': 2, '8': 4, '7': 10, '9': 7, '5': 6, '2': 8, '6': 3, '10': 5, '4': 9}"
11,0.0009360313415527344,0.0061795711517333984,13,"{'1': 1, '3': 2, '8': 3, '7': 5, '11': 4, '9': 10, '4': 9, '5': 11, '2': 6, '10': 7, '6': 8}"
12,0.002402782440185547,0.008582353591918945,27,"{'1': 1, '3': 2, '8': 3, '12': 4, '11': 8, '10': 11, '9': 5, '7': 10, '6': 12, '5': 7, '2': 6, '4': 9}"
13,0.04750800132751465,0.056090354919433594,440,"{'13': 1, '1': 2, '3': 3, '8': 10, '5': 11, '12': 8, '11': 4, '9': 12, '7': 5, '6': 13, '10': 7, '2': 6, '4': 9}"
14,0.01040792465209961,0.0664982795715332,72,"{'13': 1, '1': 2, '3': 3, '8': 4, '5': 8, '7': 12, '10': 5, '6': 14, '4': 13, '11': 10, '14': 11, '9': 7, '12': 6, '2': 9}"
15,0.01366114616394043,0.08015942573547363,79,"{'13': 1, '1': 2, '3': 3, '8': 4, '5': 8, '7': 11, '4': 6, '11': 5, '9': 15, '10': 9, '12': 10, '15': 12, '14': 7, '2': 13, '6': 14}"
16,0.021977901458740234,0.10213732719421387,104,"{'13': 1, '1': 2, '3': 3, '8': 4, '5': 8, '7': 9, '11': 10, '12': 5, '15': 13, '14': 6, '16': 11, '4': 15, '2': 7, '9': 16, '10': 14, '6': 12}"
17,0.026048898696899414,0.12818622589111328,92,"{'13': 1, '1': 2, '3': 3, '8': 4, '5': 8, '7': 9, '11': 6, '12': 11, '14': 5, '16': 10, '4': 17, '10': 14, '9': 16, '17': 15, '6': 12, '15': 7, '2': 13}"
18,0.014957904815673828,0.1431441307067871,22,"{'13': 1, '18': 2, '3': 3, '8': 4, '5': 6, '4': 9, '1': 7, '12': 5, '2': 13, '9': 12, '11': 8, '14': 16, '15': 14, '16': 10, '17': 15, '6': 18, '7': 11, '10': 17}"
19,0.022703170776367188,0.1658473014831543,45,"{'11': 1, '13': 2, '18': 3, '3': 4, '4': 6, '2': 7, '7': 10, '12': 8, '1': 5, '15': 9, '10': 19, '9': 16, '8': 18, '14': 14, '17': 15, '16': 11, '19': 12, '6': 17, '5': 13}"
20,0.03538680076599121,0.2012341022491455,61,"{'20': 1, '11': 2, '13': 3, '1': 4, '3': 5, '4': 8, '16': 9, '10': 7, '15': 11, '8': 6, '17': 12, '12': 19, '18': 17, '19': 13, '14': 14, '6': 16, '2': 18, '7': 20, '5': 10, '9': 15}"
21,0.1788339614868164,0.3800680637359619,273,"{'20': 1, '11': 2, '5': 3, '13': 5, '1': 4, '18': 6, '4': 8, '3': 11, '6': 13, '12': 17, '9': 18, '7': 19, '17': 14, '8': 7, '16': 16, '21': 15, '15': 10, '14': 20, '2': 21, '19': 9, '10': 12}"
