n,time,total_time,nodes,results
4,8.702278137207031e-05,8.702278137207031e-05,5,"{'3': 1, '2': 4, '4': 3, '1': 2}"
5,0.00012373924255371094,0.00021076202392578125,5,"{'5': 1, '3': 2, '2': 5, '1': 3, '4': 4}"
6,0.00092315673828125,0.0011339187622070312,65,"{'6': 2, '4': 6, '1': 5, '3': 1, '2': 3, '5': 4}"
7,0.0003368854522705078,0.001470804214477539,15,"{'5': 1, '7': 2, '3': 5, '4': 7, '6': 4, '2': 3, '1': 6}"
8,0.0014510154724121094,0.0029218196868896484,61,"{'3': 1, '1': 2, '4': 7, '2': 6, '8': 5, '7': 3, '5': 4, '6': 8}"
9,0.0033462047576904297,0.006268024444580078,110,"{'9': 1, '6': 2, '1': 4, '7': 9, '4': 8, '8': 5, '3': 3, '5': 6, '2': 7}"
10,0.0021219253540039062,0.008389949798583984,51,"{'1': 1, '7': 2, '5': 3, '3': 7, '10': 6, '9': 8, '6': 9, '2': 4, '8': 5, '4': 10}"
11,0.012093782424926758,0.020483732223510742,241,"{'1': 1, '2': 3, '9': 2, '11': 7, '6': 11, '3': 10, '7': 9, '10': 5, '4': 8, '5': 4, '8': 6}"
12,0.09200692176818848,0.11249065399169922,1136,"{'11': 1, '3': 2, '12': 3, '5': 11, '6': 4, '2': 6, '7': 12, '10': 10, '9': 5, '4': 7, '8': 9, '1': 8}"
13,0.10111689567565918,0.2136075496673584,1049,"{'5': 1, '4': 3, '1': 2, '2': 6, '11': 13, '9': 4, '12': 10, '6': 9, '7': 12, '13': 5, '10': 7, '8': 8, '3': 11}"
14,0.003801107406616211,0.2174086570739746,23,"{'8': 1, '2': 2, '10': 4, '13': 3, '9': 6, '3': 5, '14': 9, '11': 7, '1': 11, '12': 10, '6': 14, '4': 13, '5': 8, '7': 12}"
15,0.030675888061523438,0.24808454513549805,168,"{'8': 1, '1': 2, '5': 3, '7': 4, '10': 5, '13': 7, '9': 8, '3': 15, '4': 9, '12': 14, '2': 12, '14': 10, '15': 6, '6': 13, '11': 11}"
16,0.15747690200805664,0.4055614471435547,699,"{'16': 1, '10': 2, '2': 3, '4': 4, '15': 5, '9': 6, '13': 9, '14': 12, '8': 15, '11': 14, '3': 13, '12': 7, '6': 8, '1': 10, '7': 11, '5': 16}"
17,0.03644108772277832,0.442002534866333,109,"{'15': 1, '6': 2, '7': 4, '11': 3, '16': 5, '9': 8, '1': 6, '17': 7, '12': 10, '10': 17, '3': 9, '4': 15, '8': 12, '14': 14, '13': 16, '2': 11, '5': 13}"
18,0.17169785499572754,0.6137003898620605,539,"{'6': 1, '1': 2, '9': 3, '3': 5, '14': 4, '16': 7, '11': 8, '2': 9, '4': 12, '10': 14, '18': 10, '15': 11, '5': 15, '12': 18, '8': 13, '7': 6, '17': 17, '13': 16}"
19,0.021080732345581055,0.6347811222076416,44,"{'10': 1, '2': 2, '13': 3, '4': 5, '18': 4, '5': 7, '9': 6, '14': 9, '11': 10, '17': 11, '15': 18, '1': 12, '6': 19, '3': 15, '8': 16, '12': 17, '16': 14, '7': 13, '19': 8}"
20,0.21301507949829102,0.8477962017059326,388,"{'18': 1, '6': 2, '20': 4, '19': 6, '5': 5, '17': 3, '13': 8, '8': 7, '10': 12, '15': 13, '14': 18, '11': 16, '16': 17, '2': 11, '7': 10, '1': 15, '9': 20, '4': 14, '3': 9, '12': 19}"
21,0.34752678871154785,1.1953229904174805,459,"{'16': 1, '10': 2, '4': 3, '9': 4, '20': 6, '19': 8, '12': 9, '8': 10, '7': 7, '21': 11, '17': 5, '11': 17, '18': 12, '6': 14, '3': 16, '15': 19, '13': 18, '2': 13, '1': 15, '14': 21, '5': 20}"
22,0.1604447364807129,1.3557677268981934,114,"{'14': 1, '7': 2, '9': 3, '13': 4, '20': 5, '12': 8, '15': 7, '22': 6, '6': 10, '3': 11, '21': 9, '10': 13, '2': 16, '8': 19, '5': 14, '17': 15, '1': 20, '11': 18, '19': 12, '16': 21, '4': 22, '18': 17}"
23,5.531210899353027,6.886978626251221,4864,"{'9': 1, '16': 2, '5': 3, '17': 4, '21': 5, '1': 6, '23': 8, '11': 11, '15': 9, '13': 10, '14': 13, '6': 23, '12': 21, '3': 16, '2': 14, '19': 15, '20': 22, '8': 12, '7': 18, '4': 7, '10': 20, '18': 19, '22': 17}"
24,1.8895502090454102,8.77652883529663,1465,"{'4': 1, '18': 2, '12': 3, '11': 5, '13': 6, '7': 7, '22': 4, '3': 8, '24': 9, '5': 12, '19': 11, '20': 15, '17': 19, '8': 20, '16': 24, '23': 21, '21': 22, '15': 14, '10': 13, '1': 17, '9': 18, '14': 10, '2': 23, '6': 16}"
25,0.8397672176361084,9.61629605293274,442,"{'2': 1, '23': 2, '11': 3, '9': 4, '22': 5, '5': 6, '21': 7, '25': 9, '17': 13, '12': 10, '14': 17, '1': 8, '18': 11, '7': 12, '24': 15, '3': 18, '19': 19, '20': 22, '6': 20, '15': 21, '16': 25, '10': 23, '13': 24, '4': 14, '8': 16}"
26,1.2983169555664062,10.914613008499146,457,"{'12': 1, '7': 2, '15': 3, '5': 5, '21': 4, '17': 7, '4': 8, '2': 9, '24': 6, '10': 11, '3': 12, '13': 10, '16': 15, '1': 13, '18': 14, '19': 21, '9': 17, '14': 20, '6': 22, '26': 18, '8': 19, '22': 16, '23': 26, '20': 25, '25': 23, '11': 24}"
27,2.6488990783691406,13.563512086868286,1013,"{'2': 1, '15': 2, '1': 3, '27': 4, '16': 5, '17': 7, '26': 6, '9': 9, '25': 8, '12': 10, '13': 14, '5': 11, '10': 13, '4': 15, '18': 12, '11': 23, '3': 25, '6': 19, '21': 26, '19': 27, '20': 24, '8': 18, '24': 16, '22': 17, '14': 21, '23': 20, '7': 22}"
28,0.6281428337097168,14.191654920578003,240,"{'1': 1, '15': 2, '7': 3, '12': 4, '20': 5, '28': 6, '3': 8, '10': 9, '25': 7, '27': 10, '9': 11, '8': 14, '21': 12, '24': 17, '18': 13, '14': 15, '2': 16, '11': 19, '19': 28, '16': 23, '22': 26, '4': 22, '17': 27, '5': 18, '23': 20, '26': 24, '6': 21, '13': 25}"
29,2.850719928741455,17.042374849319458,876,"{'8': 1, '17': 2, '14': 3, '19': 5, '23': 4, '4': 6, '6': 7, '20': 8, '15': 10, '16': 13, '5': 9, '2': 14, '24': 11, '26': 16, '28': 12, '18': 18, '29': 20, '12': 19, '9': 25, '11': 21, '25': 23, '10': 29, '7': 15, '13': 24, '21': 17, '22': 28, '1': 22, '27': 26, '3': 27}"
30,2.8528330326080322,19.89520788192749,669,"{'19': 1, '5': 2, '24': 3, '27': 4, '25': 5, '11': 6, '12': 10, '16': 7, '29': 12, '4': 8, '26': 11, '13': 13, '18': 14, '2': 9, '20': 19, '14': 15, '28': 16, '7': 17, '8': 20, '17': 26, '15': 21, '9': 24, '1': 18, '21': 29, '22': 27, '10': 30, '3': 22, '30': 23, '23': 25, '6': 28}"
31,29.910777807235718,49.80598568916321,6608,"{'21': 1, '1': 2, '19': 4, '3': 3, '18': 6, '7': 5, '20': 7, '10': 9, '29': 8, '6': 10, '31': 12, '12': 14, '8': 13, '30': 16, '24': 15, '16': 19, '26': 18, '28': 17, '2': 11, '15': 27, '25': 22, '17': 23, '13': 28, '22': 29, '4': 30, '11': 25, '14': 24, '27': 21, '5': 26, '23': 31, '9': 20}"
32,9.097322940826416,58.903308629989624,1685,"{'2': 1, '5': 2, '10': 3, '31': 4, '19': 5, '17': 6, '22': 7, '11': 9, '27': 10, '26': 8, '25': 13, '4': 11, '28': 12, '12': 14, '30': 17, '16': 16, '18': 21, '7': 15, '23': 18, '13': 23, '3': 25, '9': 22, '24': 20, '20': 29, '15': 31, '8': 19, '14': 28, '6': 24, '32': 26, '1': 32, '21': 27, '29': 30}"
33,4.1672749519348145,63.07058358192444,716,"{'14': 1, '33': 2, '9': 3, '10': 6, '2': 4, '27': 5, '12': 7, '25': 8, '23': 11, '11': 9, '16': 13, '20': 10, '7': 14, '21': 20, '18': 18, '13': 24, '6': 12, '31': 15, '26': 17, '24': 16, '29': 22, '30': 19, '28': 31, '8': 30, '5': 26, '22': 32, '17': 25, '4': 21, '32': 33, '3': 23, '15': 29, '1': 27, '19': 28}"
34,10.502190113067627,73.57277369499207,1473,"{'17': 1, '32': 2, '19': 4, '21': 3, '27': 5, '34': 6, '7': 7, '9': 8, '29': 9, '5': 10, '6': 13, '22': 11, '20': 15, '8': 12, '16': 14, '3': 18, '13': 16, '10': 21, '30': 17, '23': 19, '14': 22, '25': 26, '31': 24, '26': 28, '15': 31, '24': 33, '28': 34, '11': 32, '2': 20, '1': 25, '12': 29, '33': 27, '18': 30, '4': 23}"
