n,time,total_time,nodes,results
4,8.20159912109375e-05,8.20159912109375e-05,4,"{'1': 3, '2': 1, '3': 4, '4': 2}"
5,0.00011181831359863281,0.0001938343048095703,5,"{'2': 4, '1': 2, '3': 1, '4': 3, '5': 5}"
6,0.00039505958557128906,0.0005888938903808594,20,"{'2': 6, '3': 2, '4': 5, '5': 1, '1': 3, '6': 4}"
7,0.00022983551025390625,0.0008187294006347656,7,"{'2': 5, '3': 3, '1': 7, '6': 4, '4': 1, '5': 6, '7': 2}"
8,0.0012347698211669922,0.002053499221801758,46,"{'2': 8, '7': 7, '4': 1, '6': 5, '5': 3, '8': 4, '3': 6, '1': 2}"
9,0.0007469654083251953,0.002800464630126953,17,"{'2': 9, '7': 2, '6': 8, '4': 4, '5': 1, '1': 6, '3': 7, '9': 3, '8': 5}"
10,0.001405954360961914,0.004206418991088867,25,"{'2': 2, '3': 8, '1': 7, '5': 9, '6': 4, '7': 6, '10': 5, '4': 1, '8': 10, '9': 3}"
11,0.006554841995239258,0.010761260986328125,70,"{'2': 6, '7': 3, '1': 11, '5': 2, '3': 1, '11': 5, '10': 10, '8': 9, '9': 4, '4': 7, '6': 8}"
12,0.008256912231445312,0.019018173217773438,58,"{'2': 9, '3': 5, '1': 1, '4': 3, '5': 8, '7': 2, '9': 6, '12': 10, '11': 7, '6': 11, '10': 4, '8': 12}"
13,0.0071010589599609375,0.026119232177734375,52,"{'2': 6, '7': 3, '1': 10, '3': 9, '9': 4, '6': 13, '5': 2, '4': 12, '11': 11, '12': 5, '10': 8, '8': 7, '13': 1}"
14,0.010204076766967773,0.03632330894470215,67,"{'2': 6, '7': 4, '6': 1, '3': 2, '8': 10, '10': 13, '9': 7, '13': 14, '4': 9, '1': 11, '11': 3, '14': 5, '5': 12, '12': 8}"
15,0.019330978393554688,0.055654287338256836,71,"{'2': 12, '3': 15, '7': 8, '1': 5, '5': 2, '4': 7, '8': 4, '9': 1, '6': 11, '12': 10, '11': 13, '13': 3, '10': 9, '15': 6, '14': 14}"
16,0.025252103805541992,0.08090639114379883,60,"{'2': 12, '3': 7, '1': 16, '4': 9, '9': 10, '5': 1, '8': 15, '10': 2, '7': 13, '6': 5, '15': 6, '12': 14, '16': 11, '13': 3, '11': 4, '14': 8}"
17,0.03200221061706543,0.11290860176086426,72,"{'2': 9, '7': 11, '3': 6, '1': 16, '10': 5, '8': 4, '6': 17, '9': 15, '5': 2, '4': 12, '11': 3, '17': 8, '15': 13, '16': 10, '13': 14, '12': 1, '14': 7}"
18,0.03663206100463867,0.14954066276550293,84,"{'2': 3, '3': 14, '1': 6, '4': 4, '7': 13, '5': 18, '6': 10, '11': 2, '12': 7, '8': 1, '10': 8, '14': 11, '18': 12, '15': 17, '9': 5, '13': 16, '16': 15, '17': 9}"
19,0.01661968231201172,0.16616034507751465,22,"{'14': 8, '7': 17, '9': 16, '12': 11, '19': 14, '18': 9, '11': 1, '8': 12, '15': 4, '17': 18, '16': 2, '6': 3, '3': 5, '5': 10, '2': 15, '1': 13, '13': 19, '4': 7, '10': 6}"
20,0.022839069366455078,0.18899941444396973,20,"{'14': 7, '12': 16, '9': 9, '15': 17, '10': 13, '17': 14, '8': 2, '18': 1, '16': 8, '11': 19, '3': 12, '1': 11, '6': 20, '7': 6, '5': 3, '13': 4, '2': 18, '19': 15, '20': 5, '4': 10}"
21,0.20615100860595703,0.39515042304992676,231,"{'14': 6, '12': 18, '13': 13, '9': 12, '11': 20, '16': 3, '15': 9, '5': 1, '10': 7, '2': 10, '8': 19, '7': 21, '4': 5, '1': 14, '20': 2, '3': 15, '17': 16, '18': 11, '21': 4, '19': 17, '6': 8}"
22,0.10526609420776367,0.5004165172576904,104,"{'14': 14, '12': 10, '20': 15, '17': 1, '18': 21, '13': 18, '19': 13, '11': 12, '6': 19, '8': 22, '22': 11, '15': 6, '2': 17, '7': 4, '16': 20, '5': 7, '3': 2, '9': 5, '4': 16, '10': 3, '21': 8, '1': 9}"
23,0.08581900596618652,0.586235523223877,70,"{'14': 14, '12': 13, '20': 9, '17': 20, '21': 17, '22': 8, '15': 19, '18': 23, '7': 6, '16': 1, '23': 3, '8': 2, '19': 16, '13': 5, '6': 15, '3': 21, '11': 4, '10': 12, '4': 10, '2': 18, '5': 22, '1': 11, '9': 7}"
24,0.211517333984375,0.797752857208252,180,"{'14': 3, '12': 9, '13': 19, '15': 15, '17': 8, '20': 22, '19': 24, '11': 4, '9': 10, '16': 12, '5': 21, '1': 13, '8': 2, '10': 23, '4': 7, '3': 20, '22': 5, '21': 1, '6': 14, '24': 11, '23': 18, '2': 6, '18': 16, '7': 17}"
25,0.15287017822265625,0.9506230354309082,88,"{'14': 21, '12': 5, '16': 16, '13': 12, '15': 23, '10': 8, '11': 25, '3': 9, '8': 18, '7': 20, '4': 19, '22': 17, '25': 22, '9': 10, '5': 1, '6': 15, '17': 7, '18': 2, '21': 13, '19': 24, '20': 11, '23': 6, '2': 14, '24': 4, '1': 3}"
26,0.08419513702392578,1.034818172454834,33,"{'14': 14, '12': 4, '13': 16, '9': 25, '10': 21, '11': 1, '7': 6, '8': 17, '3': 5, '4': 22, '6': 11, '2': 8, '15': 3, '16': 20, '19': 2, '21': 12, '18': 26, '1': 13, '24': 18, '20': 7, '17': 24, '23': 9, '25': 10, '22': 15, '26': 23, '5': 19}"
27,0.11011099815368652,1.1449291706085205,44,"{'14': 21, '12': 20, '17': 14, '16': 26, '8': 1, '15': 7, '20': 23, '5': 11, '10': 15, '7': 5, '6': 27, '9': 8, '11': 2, '19': 4, '13': 17, '21': 16, '27': 9, '18': 6, '4': 22, '23': 24, '22': 12, '24': 3, '26': 13, '25': 19, '2': 18, '1': 10, '3': 25}"
28,0.12035202980041504,1.2652812004089355,37,"{'14': 9, '12': 25, '13': 2, '9': 17, '15': 1, '11': 8, '16': 18, '8': 19, '10': 3, '3': 22, '19': 24, '18': 14, '21': 15, '22': 20, '6': 6, '27': 12, '26': 7, '23': 27, '28': 16, '17': 23, '24': 11, '7': 21, '2': 5, '25': 26, '4': 13, '1': 28, '5': 4, '20': 10}"
29,0.18883705139160156,1.454118251800537,39,"{'14': 17, '12': 14, '20': 18, '25': 12, '21': 9, '23': 19, '26': 21, '27': 13, '15': 20, '24': 3, '19': 26, '22': 6, '18': 1, '17': 8, '16': 25, '9': 23, '13': 2, '8': 16, '2': 15, '3': 4, '4': 29, '10': 10, '6': 5, '11': 28, '28': 22, '29': 7, '1': 11, '7': 27, '5': 24}"
30,0.37014198303222656,1.8242602348327637,53,"{'14': 4, '12': 14, '17': 25, '16': 28, '15': 2, '11': 29, '22': 10, '25': 9, '18': 12, '13': 6, '29': 27, '27': 19, '23': 8, '30': 13, '20': 15, '28': 24, '9': 16, '26': 23, '24': 3, '8': 30, '5': 11, '10': 1, '6': 17, '3': 7, '1': 21, '7': 22, '21': 26, '2': 5, '4': 20, '19': 18}"
31,0.282153844833374,2.1064140796661377,43,"{'14': 16, '12': 22, '5': 30, '3': 14, '6': 15, '9': 27, '11': 2, '10': 10, '8': 11, '7': 5, '15': 1, '13': 20, '4': 28, '1': 9, '17': 6, '2': 7, '18': 19, '20': 26, '19': 3, '22': 18, '23': 4, '21': 8, '16': 31, '24': 21, '26': 25, '28': 13, '27': 17, '25': 29, '31': 24, '30': 12, '29': 23}"
32,0.27112317085266113,2.377537250518799,47,"{'14': 3, '12': 13, '16': 22, '13': 6, '15': 12, '8': 4, '18': 16, '17': 28, '20': 32, '9': 23, '5': 31, '25': 19, '7': 11, '11': 24, '4': 25, '6': 1, '22': 8, '1': 30, '23': 26, '31': 2, '24': 29, '26': 17, '29': 21, '21': 5, '2': 20, '3': 18, '19': 9, '28': 27, '10': 10, '30': 7, '32': 15, '27': 14}"
33,0.40002918243408203,2.777566432952881,46,"{'14': 32, '13': 26, '15': 27, '18': 33, '16': 12, '11': 22, '12': 3, '10': 4, '5': 7, '3': 23, '17': 10, '9': 14, '8': 16, '22': 31, '6': 30, '7': 28, '4': 2, '27': 17, '31': 18, '19': 11, '21': 24, '1': 15, '29': 29, '25': 6, '26': 8, '30': 25, '24': 1, '28': 13, '20': 9, '2': 19, '23': 20, '32': 5, '33': 21}"
34,0.3509540557861328,3.1285204887390137,45,"{'14': 5, '12': 26, '17': 4, '20': 29, '18': 6, '16': 34, '22': 3, '13': 18, '23': 12, '19': 23, '28': 11, '11': 17, '26': 10, '21': 13, '27': 28, '4': 19, '3': 24, '7': 30, '10': 22, '30': 16, '15': 15, '2': 9, '25': 1, '1': 14, '6': 2, '5': 8, '29': 31, '33': 7, '9': 20, '31': 25, '32': 27, '24': 21, '8': 33, '34': 32}"
