n,time,total_time,nodes,results
4,9.608268737792969e-05,9.608268737792969e-05,4,"{'4': 2, '3': 4, '2': 1, '1': 3}"
5,0.00020384788513183594,0.0002999305725097656,5,"{'2': 3, '4': 2, '3': 5, '5': 4, '1': 1}"
6,0.0008630752563476562,0.0011630058288574219,14,"{'2': 3, '3': 1, '4': 6, '1': 5, '6': 2, '5': 4}"
7,0.0013370513916015625,0.0025000572204589844,12,"{'2': 4, '3': 2, '4': 7, '5': 5, '7': 1, '6': 3, '1': 6}"
8,0.0024480819702148438,0.004948139190673828,13,"{'2': 4, '3': 6, '1': 2, '6': 1, '4': 8, '7': 7, '5': 3, '8': 5}"
9,0.00505375862121582,0.010001897811889648,17,"{'2': 5, '3': 3, '1': 7, '6': 8, '5': 6, '7': 2, '9': 1, '4': 9, '8': 4}"
10,0.014153003692626953,0.0241549015045166,32,"{'2': 5, '3': 7, '6': 6, '9': 8, '10': 4, '7': 9, '8': 3, '1': 2, '4': 1, '5': 10}"
11,0.01336669921875,0.0375216007232666,14,"{'2': 6, '3': 4, '6': 5, '10': 7, '7': 3, '9': 9, '11': 1, '8': 11, '5': 10, '4': 2, '1': 8}"
12,0.02437138557434082,0.06189298629760742,19,"{'12': 6, '11': 8, '8': 7, '7': 5, '3': 4, '6': 2, '2': 11, '9': 1, '1': 3, '10': 10, '4': 12, '5': 9}"
13,0.05046510696411133,0.11235809326171875,40,"{'12': 7, '11': 5, '8': 6, '6': 9, '7': 3, '3': 8, '9': 11, '10': 2, '2': 1, '1': 12, '5': 13, '4': 4, '13': 10}"
14,0.05044388771057129,0.16280198097229004,14,"{'12': 7, '11': 9, '8': 8, '6': 5, '14': 10, '7': 11, '5': 12, '3': 6, '4': 1, '2': 4, '10': 3, '9': 14, '13': 2, '1': 13}"
15,0.10635995864868164,0.2691619396209717,40,"{'12': 8, '11': 6, '15': 7, '9': 9, '7': 5, '6': 10, '5': 14, '3': 11, '4': 3, '2': 4, '13': 2, '14': 15, '1': 12, '10': 13, '8': 1}"
16,0.16793608665466309,0.43709802627563477,57,"{'12': 8, '11': 10, '15': 9, '8': 6, '9': 4, '7': 11, '6': 13, '5': 5, '3': 12, '16': 7, '4': 1, '2': 14, '13': 15, '14': 3, '1': 2, '10': 16}"
17,0.554387092590332,0.9914851188659668,187,"{'12': 9, '11': 7, '15': 8, '17': 11, '8': 6, '7': 10, '6': 13, '14': 16, '16': 4, '5': 17, '9': 15, '2': 2, '3': 12, '10': 1, '1': 5, '4': 3, '13': 14}"
18,0.7034900188446045,1.6949751377105713,221,"{'12': 9, '11': 11, '15': 10, '18': 8, '9': 7, '8': 12, '7': 3, '6': 18, '17': 6, '5': 13, '4': 5, '16': 15, '2': 17, '3': 14, '1': 4, '13': 1, '14': 16, '10': 2}"
19,0.3059349060058594,2.0009100437164307,26,"{'10': 10, '12': 9, '14': 8, '18': 11, '19': 7, '8': 6, '17': 13, '7': 12, '5': 4, '4': 14, '3': 5, '2': 3, '1': 15, '13': 2, '11': 17, '15': 19, '16': 1, '6': 18, '9': 16}"
20,0.5626130104064941,2.563523054122925,65,"{'10': 10, '1': 11, '3': 12, '7': 9, '4': 7, '2': 8, '11': 6, '14': 13, '15': 16, '12': 2, '9': 14, '8': 20, '6': 3, '16': 5, '13': 17, '19': 15, '17': 1, '20': 18, '5': 19, '18': 4}"
