n,time,total_time,nodes,results
4,0.0002200603485107422,0.0002200603485107422,5,"{'1': 2, '4': 3, '2': 4, '3': 1}"
5,0.00032806396484375,0.0005481243133544922,5,"{'4': 1, '2': 2, '1': 5, '5': 3, '3': 4}"
6,0.001260995864868164,0.0018091201782226562,10,"{'4': 1, '6': 5, '1': 2, '2': 4, '5': 3, '3': 6}"
7,0.0013277530670166016,0.003136873245239258,8,"{'4': 1, '6': 2, '1': 3, '2': 7, '7': 6, '5': 5, '3': 4}"
8,0.0032148361206054688,0.0063517093658447266,10,"{'4': 1, '6': 2, '1': 3, '7': 8, '8': 6, '2': 5, '5': 4, '3': 7}"
9,0.0040509700775146484,0.010402679443359375,9,"{'4': 1, '6': 2, '9': 3, '1': 5, '7': 9, '8': 6, '2': 7, '5': 8, '3': 4}"
10,0.010211944580078125,0.0206146240234375,11,"{'4': 1, '10': 2, '6': 4, '9': 5, '7': 9, '1': 10, '8': 7, '2': 6, '5': 8, '3': 3}"
11,0.02167987823486328,0.04229450225830078,17,"{'4': 1, '10': 2, '11': 4, '6': 5, '9': 10, '8': 6, '1': 9, '7': 11, '2': 7, '5': 8, '3': 3}"
12,0.041419029235839844,0.08371353149414062,24,"{'4': 1, '10': 2, '11': 4, '6': 5, '9': 9, '7': 10, '12': 7, '1': 6, '8': 12, '2': 8, '5': 3, '3': 11}"
13,0.039285898208618164,0.12299942970275879,17,"{'4': 1, '10': 2, '11': 4, '13': 3, '6': 5, '5': 12, '7': 7, '1': 9, '12': 8, '2': 11, '3': 6, '8': 10, '9': 13}"
14,0.05356192588806152,0.1765613555908203,17,"{'4': 1, '10': 2, '11': 4, '13': 3, '6': 5, '14': 8, '12': 7, '2': 11, '7': 13, '1': 6, '8': 10, '9': 12, '5': 9, '3': 14}"
15,0.09418177604675293,0.27074313163757324,19,"{'4': 1, '10': 2, '11': 4, '15': 3, '13': 7, '6': 5, '9': 10, '7': 15, '14': 9, '12': 12, '1': 8, '8': 13, '2': 6, '5': 11, '3': 14}"
16,0.14245200157165527,0.4131951332092285,29,"{'4': 1, '10': 2, '11': 4, '15': 3, '13': 7, '6': 5, '16': 6, '9': 12, '7': 9, '5': 14, '14': 10, '1': 16, '8': 15, '12': 13, '2': 8, '3': 11}"
17,0.18554115295410156,0.5987362861633301,27,"{'4': 1, '10': 2, '11': 4, '15': 3, '17': 6, '16': 10, '14': 5, '6': 7, '1': 9, '7': 13, '13': 11, '9': 16, '12': 15, '8': 8, '2': 12, '5': 17, '3': 14}"
18,0.23398709297180176,0.8327233791351318,23,"{'4': 1, '10': 2, '11': 4, '15': 3, '18': 5, '6': 7, '5': 9, '2': 8, '9': 11, '13': 12, '12': 17, '14': 14, '7': 10, '16': 6, '8': 16, '1': 15, '17': 13, '3': 18}"
19,0.29190802574157715,1.124631404876709,19,"{'7': 1, '4': 2, '10': 3, '11': 6, '15': 4, '1': 8, '18': 5, '2': 10, '6': 9, '9': 11, '5': 16, '8': 14, '12': 12, '13': 17, '14': 19, '17': 18, '19': 7, '16': 13, '3': 15}"
20,0.42543578147888184,1.5500671863555908,23,"{'7': 1, '14': 2, '4': 3, '10': 5, '20': 4, '13': 6, '17': 8, '18': 10, '19': 15, '15': 12, '8': 9, '11': 18, '6': 16, '9': 14, '1': 13, '12': 20, '16': 19, '2': 11, '5': 7, '3': 17}"
21,0.5588150024414062,2.108882188796997,22,"{'7': 1, '14': 2, '5': 4, '4': 6, '1': 5, '13': 8, '15': 7, '18': 9, '19': 12, '11': 14, '12': 17, '16': 3, '6': 20, '10': 10, '9': 19, '21': 11, '3': 15, '8': 16, '17': 13, '2': 21, '20': 18}"
22,1.1579530239105225,3.2668352127075195,39,"{'7': 1, '14': 2, '5': 4, '6': 6, '4': 7, '15': 5, '22': 3, '20': 9, '18': 10, '12': 14, '9': 13, '17': 15, '8': 19, '10': 20, '11': 8, '19': 12, '13': 21, '21': 16, '3': 18, '1': 17, '16': 22, '2': 11}"
23,1.16339111328125,4.4302263259887695,37,"{'7': 1, '14': 2, '5': 4, '6': 6, '17': 3, '1': 5, '9': 10, '21': 8, '13': 9, '18': 7, '22': 12, '23': 14, '16': 11, '20': 13, '4': 20, '11': 21, '10': 16, '15': 23, '12': 19, '8': 22, '19': 17, '2': 15, '3': 18}"
24,1.905858039855957,6.336084365844727,50,"{'24': 1, '7': 2, '14': 3, '5': 5, '6': 7, '17': 4, '1': 6, '9': 11, '11': 8, '4': 10, '18': 9, '13': 16, '15': 19, '20': 13, '19': 18, '22': 14, '21': 17, '23': 21, '12': 23, '3': 12, '8': 15, '16': 24, '10': 20, '2': 22}"
25,1.6103308200836182,7.946415185928345,33,"{'24': 1, '25': 3, '7': 2, '14': 4, '12': 5, '17': 6, '5': 7, '4': 9, '1': 10, '6': 13, '3': 11, '11': 15, '10': 20, '15': 12, '13': 16, '16': 8, '2': 19, '20': 18, '22': 23, '9': 22, '18': 17, '8': 24, '23': 14, '19': 25, '21': 21}"
26,1.91278076171875,9.859195947647095,27,"{'24': 1, '25': 3, '7': 2, '14': 4, '12': 5, '2': 6, '17': 9, '6': 7, '20': 11, '13': 10, '22': 8, '5': 14, '4': 12, '10': 17, '3': 18, '15': 20, '9': 15, '18': 16, '16': 26, '11': 22, '21': 24, '8': 21, '1': 19, '19': 13, '23': 23, '26': 25}"
27,3.0964338779449463,12.955629825592041,30,"{'24': 1, '27': 2, '7': 3, '14': 4, '5': 6, '6': 8, '13': 7, '15': 12, '20': 11, '4': 9, '22': 10, '26': 13, '25': 5, '9': 15, '8': 18, '10': 23, '12': 16, '11': 25, '1': 21, '23': 22, '18': 26, '21': 14, '2': 17, '17': 24, '19': 19, '16': 27, '3': 20}"
28,4.223724126815796,17.179353952407837,62,"{'24': 1, '27': 2, '28': 4, '7': 3, '14': 5, '12': 6, '16': 8, '5': 7, '9': 12, '1': 10, '4': 9, '6': 14, '2': 13, '13': 17, '17': 16, '19': 20, '22': 19, '21': 27, '20': 18, '10': 26, '11': 24, '15': 22, '26': 21, '18': 28, '8': 23, '25': 15, '23': 11, '3': 25}"
29,4.394109010696411,21.573462963104248,56,"{'24': 1, '27': 2, '29': 3, '7': 4, '5': 5, '12': 6, '17': 7, '14': 9, '10': 11, '3': 10, '6': 8, '20': 13, '22': 14, '25': 12, '28': 16, '23': 19, '26': 15, '19': 27, '21': 24, '16': 22, '18': 29, '4': 23, '11': 20, '15': 28, '13': 17, '8': 18, '9': 25, '1': 21, '2': 26}"
30,5.531642198562622,27.10510516166687,81,"{'24': 1, '27': 2, '29': 3, '7': 4, '5': 5, '12': 6, '2': 7, '17': 9, '18': 13, '14': 10, '6': 8, '20': 18, '9': 12, '25': 11, '22': 15, '28': 16, '26': 17, '30': 19, '4': 23, '10': 25, '11': 28, '15': 27, '13': 20, '1': 21, '21': 30, '23': 22, '8': 26, '19': 29, '16': 24, '3': 14}"
31,6.341723203659058,33.44682836532593,31,"{'24': 1, '27': 2, '29': 3, '7': 4, '5': 5, '12': 6, '2': 7, '17': 9, '18': 13, '14': 10, '6': 8, '20': 18, '25': 11, '10': 17, '26': 14, '28': 15, '31': 16, '22': 12, '4': 19, '3': 25, '1': 20, '9': 21, '8': 29, '30': 23, '16': 26, '13': 22, '11': 28, '19': 30, '23': 27, '15': 31, '21': 24}"
32,6.862605810165405,40.30943417549133,32,"{'24': 1, '27': 2, '29': 3, '7': 4, '5': 5, '12': 6, '2': 7, '17': 9, '18': 13, '14': 10, '6': 8, '20': 18, '25': 11, '28': 12, '9': 19, '30': 15, '31': 20, '32': 14, '21': 22, '26': 16, '15': 24, '11': 23, '19': 25, '10': 17, '4': 31, '22': 30, '13': 28, '1': 21, '8': 29, '16': 32, '23': 26, '3': 27}"
33,11.278783082962036,51.58821725845337,144,"{'24': 1, '27': 2, '29': 3, '7': 4, '5': 5, '12': 6, '2': 7, '17': 9, '18': 13, '14': 10, '6': 8, '20': 18, '25': 11, '28': 12, '9': 19, '31': 14, '30': 17, '33': 15, '22': 21, '32': 20, '16': 23, '15': 31, '13': 28, '10': 24, '11': 22, '4': 33, '26': 30, '1': 26, '23': 32, '8': 27, '19': 25, '21': 29, '3': 16}"
