n,time,total_time,nodes,results
4,9.703636169433594e-05,9.703636169433594e-05,5,"{'3': 1, '2': 4, '1': 2, '4': 3}"
5,0.0001218318939208,0.0002188682556152,5,"{'3': 1, '4': 3, '2': 4, '1': 2, '5': 5}"
6,0.000586986541748,0.0008058547973632,29,"{'3': 1, '4': 6, '5': 4, '2': 3, '1': 5, '6': 2}"
7,0.0004107952117919,0.0012166500091552,16,"{'4': 1, '3': 3, '5': 6, '6': 4, '2': 5, '1': 7, '7': 2}"
8,0.0004849433898925,0.0017015933990478,13,"{'4': 1, '5': 3, '3': 4, '6': 6, '7': 2, '2': 8, '1': 5, '8': 7}"
9,0.0041429996490478,0.0058445930480957,57,"{'5': 1, '4': 3, '6': 4, '3': 9, '7': 7, '8': 5, '2': 6, '1': 8, '9': 2}"
10,0.0033411979675292,0.009185791015625,67,"{'5': 1, '6': 3, '4': 4, '7': 6, '8': 10, '3': 8, '9': 7, '2': 5, '1': 9, '10': 2}"
11,0.0047099590301513,0.0138957500457763,75,"{'6': 1, '5': 3, '7': 4, '8': 2, '4': 9, '3': 6, '9': 8, '10': 11, '2': 10, '1': 5, '11': 7}"
12,0.0113222599029541,0.0252180099487304,102,"{'6': 1, '7': 3, '8': 5, '5': 4, '4': 8, '9': 10, '10': 12, '3': 11, '11': 9, '2': 2, '1': 7, '12': 6}"
13,0.0321228504180908,0.0573408603668212,254,"{'7': 1, '8': 3, '6': 4, '5': 2, '9': 8, '10': 10, '4': 11, '3': 9, '11': 7, '12': 13, '2': 12, '1': 5, '13': 6}"
14,0.1997759342193603,0.2571167945861816,697,"{'8': 1, '7': 3, '9': 4, '6': 5, '10': 7, '5': 11, '4': 14, '11': 9, '3': 12, '12': 2, '13': 13, '2': 10, '1': 6, '14': 8}"
15,0.0607001781463623,0.3178169727325439,340,"{'8': 1, '9': 3, '7': 4, '10': 5, '6': 2, '11': 9, '5': 14, '12': 11, '4': 12, '13': 13, '3': 10, '14': 15, '2': 8, '1': 6, '15': 7}"
16,0.1025199890136718,0.4203369617462158,448,"{'8': 1, '9': 3, '10': 5, '7': 4, '11': 2, '6': 8, '12': 11, '5': 12, '13': 14, '4': 15, '3': 13, '14': 10, '15': 7, '2': 6, '1': 9, '16': 16}"
17,0.2041406631469726,0.6244776248931885,701,"{'9': 1, '8': 3, '10': 4, '11': 2, '7': 5, '12': 8, '6': 9, '13': 13, '5': 12, '4': 14, '14': 11, '3': 16, '15': 17, '16': 6, '2': 7, '1': 15, '17': 10}"
18,0.2565698623657226,0.8810474872589111,736,"{'10': 1, '9': 3, '8': 5, '11': 4, '12': 2, '7': 9, '13': 8, '6': 11, '5': 15, '14': 12, '4': 18, '15': 14, '3': 6, '16': 16, '17': 13, '2': 17, '1': 7, '18': 10}"
19,0.9291200637817384,1.8101675510406487,1880,"{'10': 1, '11': 3, '9': 4, '8': 2, '12': 5, '13': 9, '7': 8, '14': 11, '6': 12, '15': 13, '5': 14, '16': 18, '4': 16, '3': 6, '17': 7, '18': 17, '2': 10, '1': 15, '19': 19}"
20,2.639582872390747,4.4497504234313965,5118,"{'11': 1, '10': 3, '12': 4, '9': 5, '13': 2, '8': 9, '14': 8, '7': 11, '15': 12, '6': 13, '16': 14, '5': 16, '4': 19, '17': 17, '3': 6, '18': 20, '19': 7, '2': 18, '1': 10, '20': 15}"
21,6.505194902420044,10.95494532585144,10611,"{'11': 1, '10': 3, '12': 4, '9': 5, '13': 2, '14': 8, '8': 9, '7': 11, '15': 10, '16': 13, '6': 14, '17': 15, '5': 16, '4': 7, '18': 18, '3': 20, '19': 21, '2': 17, '20': 19, '21': 12, '1': 6}"
22,6.266245126724243,17.221190452575684,7815,"{'12': 1, '11': 3, '10': 5, '13': 4, '14': 2, '9': 9, '15': 8, '8': 11, '7': 13, '16': 10, '17': 14, '6': 15, '5': 17, '18': 20, '4': 21, '19': 18, '3': 7, '20': 16, '2': 22, '21': 19, '1': 6, '22': 12}"
23,277.82873129844666,295.04992175102234,260430,"{'12': 1, '11': 3, '13': 4, '14': 2, '10': 5, '15': 8, '9': 9, '8': 11, '16': 10, '17': 13, '7': 14, '6': 16, '18': 15, '5': 20, '19': 17, '20': 19, '4': 23, '21': 22, '3': 21, '22': 12, '2': 18, '1': 7, '23': 6}"
24,65.48001217842102,360.52993392944336,58134,"{'12': 1, '13': 3, '14': 5, '11': 4, '10': 2, '15': 9, '9': 8, '16': 11, '8': 6, '17': 13, '18': 19, '7': 14, '6': 17, '19': 16, '5': 20, '20': 23, '4': 22, '21': 7, '22': 24, '3': 15, '23': 10, '2': 18, '24': 12, '1': 21}"
25,47.065550088882446,407.5954840183258,32613,"{'13': 1, '14': 3, '12': 4, '11': 2, '15': 5, '10': 8, '16': 9, '9': 6, '17': 11, '8': 13, '18': 14, '19': 19, '7': 15, '6': 18, '20': 23, '5': 22, '21': 20, '22': 17, '4': 25, '23': 24, '3': 16, '24': 7, '2': 21, '25': 12, '1': 10}"
26,126.14509177207947,533.7405757904053,82642,"{'14': 1, '13': 3, '12': 5, '15': 4, '11': 2, '16': 8, '10': 10, '17': 11, '9': 12, '18': 13, '8': 6, '19': 15, '20': 17, '7': 18, '6': 21, '21': 20, '5': 24, '22': 23, '23': 25, '4': 26, '24': 9, '3': 19, '25': 7, '2': 16, '1': 22, '26': 14}"
27,14.069583654403687,547.810159444809,7743,"{'14': 1, '15': 3, '13': 4, '12': 2, '16': 5, '11': 8, '17': 9, '18': 11, '10': 6, '9': 13, '19': 14, '8': 15, '20': 18, '21': 20, '7': 17, '6': 19, '22': 22, '5': 23, '23': 24, '4': 16, '24': 26, '25': 7, '3': 27, '2': 25, '26': 10, '1': 12, '27': 21}"
