n,time,total_time,nodes,results
4,8.487701416015625e-05,8.487701416015625e-05,5,"{'2': 4, '3': 1, '4': 3, '1': 2}"
5,0.00010800361633300781,0.00019288063049316406,5,"{'3': 5, '2': 3, '4': 2, '5': 4, '1': 1}"
6,0.00024318695068359375,0.0004360675811767578,13,"{'3': 6, '5': 3, '4': 1, '6': 5, '1': 2, '2': 4}"
7,0.0003800392150878906,0.0008161067962646484,19,"{'3': 7, '5': 6, '1': 1, '2': 4, '4': 3, '6': 2, '7': 5}"
8,0.00030803680419921875,0.0011241436004638672,8,"{'3': 8, '5': 7, '1': 5, '2': 3, '4': 4, '6': 1, '7': 6, '8': 2}"
9,0.0006799697875976562,0.0018041133880615234,13,"{'9': 9, '3': 8, '5': 7, '1': 4, '2': 6, '6': 1, '7': 3, '8': 5, '4': 2}"
10,0.003381013870239258,0.005185127258300781,74,"{'9': 10, '3': 9, '5': 8, '1': 1, '7': 4, '6': 2, '2': 7, '10': 5, '8': 6, '4': 3}"
11,0.0068359375,0.012021064758300781,105,"{'9': 11, '11': 10, '3': 9, '2': 2, '4': 5, '1': 6, '8': 3, '6': 4, '10': 7, '7': 1, '5': 8}"
12,0.009100914001464844,0.021121978759765625,72,"{'9': 12, '11': 11, '3': 10, '1': 9, '7': 2, '6': 5, '4': 8, '8': 6, '5': 1, '2': 3, '12': 4, '10': 7}"
13,0.0034160614013671875,0.024538040161132812,23,"{'9': 13, '11': 12, '3': 11, '1': 10, '7': 9, '4': 4, '6': 3, '5': 1, '2': 5, '12': 6, '10': 2, '13': 8, '8': 7}"
14,0.00493621826171875,0.029474258422851562,21,"{'9': 14, '11': 13, '3': 12, '1': 11, '7': 10, '4': 5, '6': 4, '8': 8, '14': 6, '2': 9, '13': 1, '12': 7, '5': 2, '10': 3}"
15,0.00484776496887207,0.03432202339172363,18,"{'15': 15, '9': 14, '11': 13, '3': 12, '1': 11, '7': 10, '4': 5, '8': 3, '6': 4, '2': 6, '10': 9, '5': 2, '12': 8, '13': 1, '14': 7}"
16,0.0068950653076171875,0.04121708869934082,16,"{'15': 16, '9': 15, '11': 14, '3': 13, '1': 12, '7': 11, '4': 6, '8': 7, '5': 3, '6': 1, '14': 8, '16': 5, '12': 2, '10': 10, '2': 9, '13': 4}"
17,0.012908935546875,0.05412602424621582,29,"{'15': 17, '9': 16, '11': 15, '3': 14, '1': 13, '7': 12, '4': 7, '8': 8, '5': 4, '6': 2, '2': 10, '13': 5, '16': 11, '10': 3, '12': 9, '17': 6, '14': 1}"
