n,time,total_time,nodes,results
4,9.012222290039062e-05,9.012222290039062e-05,5,"{'2': 1, '3': 4, '4': 2, '1': 3}"
5,9.608268737792967e-05,0.0001862049102783,5,"{'2': 1, '3': 3, '5': 2, '4': 5, '1': 4}"
6,0.0003011226654052,0.0004873275756835,18,"{'2': 1, '1': 4, '3': 5, '4': 2, '5': 6, '6': 3}"
7,0.000277042388916,0.0007643699645996,10,"{'2': 1, '1': 3, '3': 6, '5': 2, '4': 4, '7': 5, '6': 7}"
8,0.00059175491333,0.0013561248779296,22,"{'2': 1, '1': 3, '3': 7, '6': 2, '4': 5, '5': 8, '8': 6, '7': 4}"
9,0.0012059211730957,0.0025620460510253,34,"{'2': 1, '1': 3, '7': 4, '3': 6, '6': 2, '9': 7, '8': 9, '5': 5, '4': 8}"
10,0.0012140274047851,0.0037760734558105,24,"{'2': 1, '10': 2, '7': 3, '6': 8, '8': 9, '5': 10, '3': 6, '4': 4, '9': 7, '1': 5}"
11,0.005511999130249,0.0092880725860595,91,"{'2': 1, '10': 2, '11': 4, '7': 10, '6': 8, '8': 3, '3': 7, '9': 9, '5': 11, '4': 5, '1': 6}"
12,0.0018599033355712,0.0111479759216308,15,"{'2': 1, '12': 2, '10': 3, '8': 4, '6': 9, '7': 11, '3': 8, '1': 7, '9': 10, '5': 5, '4': 12, '11': 6}"
13,0.0036499500274658,0.0147979259490966,23,"{'2': 1, '12': 2, '10': 3, '8': 4, '6': 9, '7': 11, '9': 10, '5': 12, '4': 6, '1': 7, '11': 5, '3': 8, '13': 13}"
14,0.0046668052673339,0.0194647312164306,28,"{'2': 1, '14': 2, '12': 3, '10': 4, '7': 5, '3': 6, '4': 14, '5': 12, '8': 13, '6': 7, '9': 11, '11': 8, '13': 9, '1': 10}"
15,0.0278222560882568,0.0472869873046875,139,"{'2': 1, '14': 2, '12': 3, '10': 4, '7': 5, '1': 7, '6': 14, '5': 6, '3': 10, '8': 11, '4': 13, '9': 9, '11': 15, '13': 8, '15': 12}"
16,0.0439651012420654,0.0912520885467529,173,"{'16': 1, '2': 2, '14': 4, '12': 3, '10': 6, '7': 5, '3': 10, '1': 9, '6': 16, '5': 14, '4': 7, '8': 13, '13': 12, '15': 8, '11': 15, '9': 11}"
17,0.006929874420166,0.0981819629669189,17,"{'16': 1, '2': 2, '14': 4, '12': 3, '10': 6, '7': 5, '1': 7, '4': 9, '3': 11, '8': 12, '9': 10, '11': 13, '15': 8, '13': 16, '17': 14, '5': 17, '6': 15}"
18,0.0361278057098388,0.1343097686767578,94,"{'16': 1, '2': 2, '14': 4, '12': 3, '10': 6, '7': 5, '1': 7, '4': 9, '3': 11, '8': 15, '6': 18, '5': 16, '11': 8, '9': 13, '17': 12, '13': 14, '15': 17, '18': 10}"
19,0.0282318592071533,0.1625416278839111,59,"{'3': 1, '16': 2, '14': 3, '12': 4, '11': 8, '7': 6, '6': 9, '2': 7, '1': 5, '13': 13, '15': 10, '19': 15, '8': 14, '4': 19, '5': 16, '10': 17, '9': 11, '17': 18, '18': 12}"
20,0.0875709056854248,0.2501125335693359,151,"{'3': 1, '11': 2, '16': 3, '20': 4, '7': 7, '8': 9, '19': 8, '14': 6, '4': 11, '12': 14, '15': 18, '18': 17, '13': 10, '2': 20, '9': 19, '10': 15, '1': 5, '6': 12, '17': 13, '5': 16}"
21,0.0733299255371093,0.3234424591064453,99,"{'3': 1, '11': 2, '6': 3, '21': 4, '20': 6, '18': 5, '12': 7, '10': 10, '8': 9, '5': 11, '2': 12, '1': 17, '4': 18, '7': 14, '15': 20, '9': 21, '14': 13, '16': 8, '17': 19, '19': 15, '13': 16}"
22,0.1321620941162109,0.4556045532226562,161,"{'3': 1, '11': 2, '6': 3, '14': 4, '21': 5, '20': 7, '22': 8, '12': 11, '17': 12, '8': 9, '19': 13, '9': 16, '7': 15, '13': 6, '5': 19, '2': 14, '1': 10, '10': 21, '4': 17, '15': 20, '16': 18, '18': 22}"
23,0.0293340682983398,0.4849386215209961,23,"{'23': 1, '3': 2, '11': 3, '6': 4, '14': 5, '15': 8, '18': 7, '21': 6, '20': 10, '22': 9, '8': 12, '9': 17, '12': 21, '10': 11, '7': 22, '5': 23, '13': 19, '16': 18, '19': 16, '17': 20, '4': 14, '1': 15, '2': 13}"
24,0.1688539981842041,0.6537926197052002,141,"{'23': 1, '3': 2, '11': 3, '6': 4, '14': 5, '18': 7, '19': 9, '22': 8, '24': 11, '21': 6, '12': 14, '7': 10, '10': 19, '15': 22, '17': 23, '13': 18, '8': 12, '4': 17, '16': 16, '9': 24, '5': 13, '20': 21, '2': 20, '1': 15}"
25,0.1848659515380859,0.8386585712432861,119,"{'23': 1, '3': 2, '11': 3, '6': 4, '14': 5, '18': 7, '19': 9, '22': 8, '24': 11, '25': 6, '12': 14, '10': 10, '7': 15, '2': 13, '8': 24, '9': 18, '5': 12, '1': 20, '4': 19, '15': 21, '16': 17, '17': 22, '20': 23, '13': 25, '21': 16}"
26,0.0808720588684082,0.9195306301116944,43,"{'23': 1, '3': 2, '11': 3, '6': 4, '14': 5, '18': 7, '19': 9, '22': 8, '24': 11, '26': 6, '25': 13, '12': 14, '9': 12, '4': 16, '2': 10, '7': 20, '5': 24, '10': 26, '13': 18, '20': 17, '17': 23, '15': 19, '16': 25, '8': 15, '1': 21, '21': 22}"
