n,time,total_time,nodes,results
4,0.0001142024993896,0.0001142024993896,8,"{'1': 2, '2': 4, '3': 1, '4': 3}"
5,8.0108642578125e-05,0.0001943111419677,5,"{'1': 1, '2': 3, '3': 5, '4': 2, '5': 4}"
6,0.000464916229248,0.0006592273712158,31,"{'1': 2, '2': 4, '3': 6, '4': 1, '5': 3, '6': 5}"
7,0.000180959701538,0.0008401870727539,9,"{'1': 1, '2': 3, '3': 5, '4': 7, '5': 2, '6': 4, '7': 6}"
8,0.0023880004882812,0.0032281875610351,113,"{'1': 1, '2': 5, '3': 8, '4': 6, '5': 3, '6': 7, '7': 2, '8': 4}"
9,0.0012221336364746,0.0044503211975097,41,"{'1': 1, '2': 3, '3': 6, '4': 8, '5': 2, '6': 4, '7': 9, '8': 7, '9': 5}"
10,0.0082578659057617,0.0127081871032714,209,"{'1': 1, '10': 2, '2': 6, '3': 8, '4': 10, '5': 4, '6': 9, '7': 3, '8': 5, '9': 7}"
11,0.0576131343841552,0.0703213214874267,994,"{'1': 1, '10': 2, '11': 6, '2': 3, '3': 8, '4': 10, '5': 4, '6': 9, '7': 11, '8': 5, '9': 7}"
12,0.01469087600708,0.0850121974945068,214,"{'1': 1, '10': 2, '11': 4, '12': 6, '2': 8, '3': 10, '4': 7, '5': 3, '6': 11, '7': 9, '8': 12, '9': 5}"
13,0.0366849899291992,0.121697187423706,394,"{'1': 1, '10': 2, '11': 4, '12': 6, '13': 8, '2': 7, '3': 11, '4': 13, '5': 3, '6': 5, '7': 9, '8': 12, '9': 10}"
14,0.0153627395629882,0.1370599269866943,122,"{'1': 1, '10': 2, '11': 4, '12': 6, '13': 3, '14': 9, '2': 7, '3': 11, '4': 13, '5': 8, '6': 5, '7': 14, '8': 12, '9': 10}"
15,0.1569321155548095,0.2939920425415039,1024,"{'1': 1, '10': 2, '11': 4, '12': 6, '13': 3, '14': 9, '15': 13, '2': 8, '3': 10, '4': 7, '5': 14, '6': 11, '7': 15, '8': 12, '9': 5}"
