n,time,total_time,nodes,results
4,0.00011897087097167969,0.00011897087097167969,4,"{'2': 1, '3': 4, '1': 3, '4': 2}"
5,0.00019884109497070312,0.0003178119659423828,7,"{'3': 1, '2': 3, '4': 4, '1': 5, '5': 2}"
6,0.0009160041809082031,0.001233816146850586,104,"{'4': 1, '3': 6, '2': 4, '5': 3, '1': 2, '6': 5}"
7,0.0009920597076416016,0.0022258758544921875,72,"{'4': 1, '5': 3, '3': 6, '2': 4, '6': 5, '1': 2, '7': 7}"
8,0.001979827880859375,0.0042057037353515625,96,"{'4': 1, '5': 3, '6': 5, '3': 6, '2': 8, '7': 7, '1': 2, '8': 4}"
9,0.005777120590209961,0.009982824325561523,324,"{'5': 1, '6': 3, '4': 4, '7': 9, '3': 7, '2': 5, '8': 6, '1': 2, '9': 8}"
10,0.00687098503112793,0.016853809356689453,311,"{'6': 1, '5': 3, '4': 5, '7': 6, '8': 2, '3': 8, '2': 10, '9': 9, '10': 7, '1': 4}"
11,0.012453794479370117,0.02930760383605957,498,"{'6': 1, '5': 3, '7': 4, '8': 2, '4': 9, '9': 8, '3': 6, '2': 10, '10': 11, '1': 5, '11': 7}"
12,0.07725691795349121,0.10656452178955078,2198,"{'6': 1, '7': 3, '8': 5, '5': 4, '9': 10, '4': 8, '10': 12, '3': 11, '2': 2, '11': 9, '1': 7, '12': 6}"
13,0.09112095832824707,0.19768548011779785,2721,"{'7': 1, '6': 3, '8': 4, '9': 2, '5': 8, '4': 10, '10': 11, '11': 9, '3': 7, '2': 13, '12': 12, '13': 5, '1': 6}"
14,0.5944180488586426,0.7921035289764404,9177,"{'8': 1, '7': 3, '6': 5, '9': 4, '5': 7, '10': 10, '4': 13, '11': 12, '12': 9, '3': 11, '2': 14, '13': 2, '1': 6, '14': 8}"
15,0.4701418876647949,1.2622454166412354,6322,"{'8': 1, '9': 3, '7': 4, '6': 2, '10': 5, '5': 9, '11': 10, '12': 13, '4': 12, '13': 11, '3': 15, '2': 8, '14': 14, '1': 6, '15': 7}"
16,0.4472980499267578,1.7095434665679932,3903,"{'9': 1, '8': 3, '10': 4, '7': 5, '6': 2, '11': 8, '12': 11, '5': 15, '13': 13, '4': 12, '14': 16, '3': 10, '2': 7, '15': 6, '1': 14, '16': 9}"
17,2.3610072135925293,4.0705506801605225,13744,"{'9': 1, '8': 3, '10': 4, '11': 2, '7': 5, '12': 8, '6': 9, '13': 13, '5': 12, '14': 11, '4': 14, '15': 17, '3': 16, '2': 7, '16': 6, '1': 15, '17': 10}"
18,0.5531361103057861,4.623686790466309,2780,"{'9': 1, '10': 3, '8': 4, '11': 5, '12': 2, '7': 8, '13': 10, '6': 11, '14': 12, '5': 14, '15': 15, '4': 17, '16': 18, '3': 6, '2': 9, '17': 16, '18': 13, '1': 7}"
19,24.85510015487671,29.478786945343018,73325,"{'10': 1, '9': 3, '11': 4, '12': 2, '8': 5, '13': 8, '7': 9, '14': 10, '6': 12, '15': 13, '5': 14, '4': 18, '16': 16, '17': 6, '3': 7, '2': 15, '18': 17, '19': 11, '1': 19}"
20,4.1845338344573975,33.663320779800415,7844,"{'10': 1, '11': 3, '12': 5, '9': 4, '13': 2, '8': 8, '14': 10, '7': 11, '6': 13, '15': 12, '5': 16, '16': 6, '4': 19, '17': 15, '18': 20, '3': 17, '2': 7, '19': 18, '1': 9, '20': 14}"
21,113.71920371055603,147.38252449035645,252533,"{'11': 1, '12': 3, '10': 4, '13': 5, '9': 2, '14': 9, '8': 8, '15': 11, '7': 10, '6': 13, '16': 14, '5': 15, '17': 16, '18': 7, '4': 18, '3': 21, '19': 20, '2': 19, '20': 17, '21': 6, '1': 12}"
22,56.28658199310303,203.66910648345947,144434,"{'12': 1, '11': 3, '13': 4, '10': 5, '14': 2, '9': 9, '15': 8, '8': 11, '7': 13, '16': 10, '6': 15, '17': 14, '18': 20, '5': 17, '4': 21, '19': 18, '3': 7, '20': 16, '2': 22, '21': 19, '1': 6, '22': 12}"
