n,time,total_time,nodes,results
4,0.0001201629638671875,0.0001201629638671875,4,"{'3': 1, '4': 3, '2': 4, '1': 2}"
5,0.00020933151245117188,0.0003294944763183594,8,"{'4': 1, '2': 2, '5': 3, '3': 4, '1': 5}"
6,0.0006000995635986328,0.0009295940399169922,64,"{'4': 1, '2': 4, '3': 6, '6': 5, '5': 3, '1': 2}"
7,0.0007998943328857422,0.0017294883728027344,69,"{'7': 1, '4': 2, '2': 5, '3': 7, '6': 6, '5': 4, '1': 3}"
8,0.0011370182037353516,0.002866506576538086,49,"{'7': 1, '4': 2, '2': 3, '8': 4, '3': 7, '6': 5, '5': 8, '1': 6}"
9,0.002057313919067383,0.004923820495605469,74,"{'7': 1, '4': 2, '2': 3, '9': 4, '8': 7, '3': 9, '6': 8, '5': 5, '1': 6}"
10,0.002928018569946289,0.007851839065551758,47,"{'7': 1, '4': 2, '2': 3, '9': 4, '8': 7, '10': 6, '3': 9, '6': 8, '5': 5, '1': 10}"
11,0.006369113922119141,0.014220952987670898,157,"{'7': 1, '11': 2, '4': 3, '2': 4, '9': 5, '8': 9, '10': 8, '3': 7, '6': 6, '5': 11, '1': 10}"
12,0.007734060287475586,0.021955013275146484,59,"{'7': 1, '11': 2, '4': 3, '2': 4, '9': 5, '12': 7, '8': 8, '10': 11, '3': 6, '6': 12, '5': 10, '1': 9}"
13,0.032743215560913086,0.05469822883605957,631,"{'7': 1, '11': 2, '4': 3, '2': 4, '9': 5, '12': 7, '8': 12, '13': 10, '10': 8, '3': 13, '6': 11, '5': 6, '1': 9}"
14,0.09490084648132324,0.1495990753173828,1582,"{'7': 1, '11': 2, '4': 3, '14': 4, '2': 7, '9': 5, '12': 10, '8': 11, '13': 8, '10': 14, '3': 13, '6': 6, '5': 12, '1': 9}"
15,0.2306058406829834,0.3802049160003662,1603,"{'7': 1, '15': 2, '11': 3, '4': 5, '14': 4, '2': 8, '9': 6, '12': 12, '8': 11, '13': 9, '10': 15, '3': 13, '6': 14, '5': 7, '1': 10}"
16,0.2646489143371582,0.6448538303375244,2056,"{'7': 1, '15': 2, '11': 3, '4': 5, '14': 4, '2': 8, '9': 6, '12': 7, '8': 15, '13': 11, '16': 9, '10': 12, '3': 13, '6': 14, '5': 16, '1': 10}"
17,0.501492977142334,1.1463468074798584,5105,"{'7': 1, '15': 2, '11': 3, '4': 5, '14': 4, '2': 8, '9': 6, '12': 7, '8': 15, '13': 11, '16': 9, '17': 17, '10': 12, '3': 13, '6': 14, '5': 16, '1': 10}"
18,0.15053009986877441,1.2968769073486328,957,"{'7': 1, '15': 2, '11': 3, '4': 5, '14': 4, '2': 8, '9': 6, '12': 7, '8': 12, '18': 9, '13': 13, '16': 14, '17': 16, '10': 18, '3': 10, '6': 15, '5': 17, '1': 11}"
19,0.8036448955535889,2.1005218029022217,3493,"{'15': 1, '7': 2, '19': 3, '11': 4, '4': 6, '14': 5, '2': 9, '9': 8, '12': 12, '8': 13, '18': 10, '13': 17, '16': 19, '17': 14, '10': 16, '3': 15, '6': 7, '5': 18, '1': 11}"
20,1.653609037399292,3.7541308403015137,8999,"{'15': 1, '19': 2, '7': 3, '11': 4, '4': 5, '14': 6, '2': 9, '9': 8, '12': 7, '8': 10, '18': 18, '13': 17, '16': 13, '17': 20, '20': 14, '10': 15, '3': 11, '6': 16, '5': 19, '1': 12}"
21,0.7753360271453857,4.529466867446899,3180,"{'15': 1, '19': 2, '14': 3, '7': 4, '11': 7, '21': 5, '4': 6, '2': 10, '9': 13, '12': 11, '8': 17, '18': 9, '13': 19, '16': 14, '17': 12, '20': 20, '10': 21, '3': 16, '6': 18, '5': 15, '1': 8}"
22,4.039366006851196,8.568832874298096,16717,"{'15': 1, '19': 2, '14': 3, '2': 4, '7': 5, '11': 7, '21': 6, '4': 9, '22': 10, '9': 13, '12': 11, '8': 18, '18': 12, '13': 21, '16': 17, '17': 14, '20': 15, '10': 19, '3': 16, '6': 22, '5': 20, '1': 8}"
23,0.36968994140625,8.938522815704346,889,"{'15': 1, '19': 2, '14': 3, '2': 4, '22': 6, '7': 5, '11': 7, '21': 8, '4': 9, '9': 10, '12': 11, '8': 12, '18': 13, '13': 21, '16': 16, '17': 23, '20': 17, '10': 20, '23': 15, '3': 19, '6': 18, '5': 22, '1': 14}"
24,0.42818307876586914,9.366705894470215,722,"{'15': 1, '19': 2, '14': 3, '2': 4, '22': 6, '13': 5, '7': 7, '24': 9, '11': 8, '21': 11, '4': 16, '9': 13, '12': 15, '8': 17, '18': 12, '16': 22, '17': 18, '20': 19, '10': 21, '23': 14, '3': 10, '6': 20, '5': 24, '1': 23}"
25,1.9413268566131592,11.308032751083374,4055,"{'15': 1, '19': 2, '14': 3, '2': 4, '22': 6, '13': 5, '17': 7, '7': 8, '24': 9, '11': 11, '21': 14, '4': 10, '9': 16, '12': 15, '8': 12, '18': 13, '25': 21, '16': 25, '20': 19, '10': 22, '23': 20, '3': 23, '6': 17, '5': 24, '1': 18}"
26,0.9626560211181641,12.270688772201538,1747,"{'15': 1, '19': 2, '14': 3, '2': 4, '22': 6, '13': 5, '17': 7, '23': 8, '7': 12, '26': 13, '24': 17, '11': 9, '21': 15, '4': 10, '9': 16, '12': 11, '8': 18, '18': 19, '25': 20, '16': 24, '20': 23, '10': 22, '3': 26, '6': 21, '5': 25, '1': 14}"
27,17.11228108406067,29.382969856262207,30556,"{'15': 1, '19': 2, '14': 3, '2': 4, '22': 6, '13': 5, '17': 7, '23': 8, '12': 10, '7': 12, '26': 13, '24': 17, '11': 14, '21': 9, '27': 18, '4': 11, '9': 23, '8': 21, '18': 19, '25': 22, '16': 24, '20': 16, '10': 25, '3': 20, '6': 27, '5': 15, '1': 26}"
28,65.04377913475037,94.42674899101257,82439,"{'15': 1, '19': 2, '14': 3, '2': 4, '22': 6, '28': 5, '13': 7, '17': 8, '23': 11, '12': 10, '7': 12, '26': 13, '24': 14, '11': 15, '21': 16, '27': 9, '4': 19, '9': 23, '8': 21, '18': 24, '25': 26, '16': 25, '20': 27, '10': 20, '3': 28, '6': 18, '5': 22, '1': 17}"
29,67.5069191455841,161.93366813659668,75525,"{'15': 1, '19': 2, '14': 3, '2': 4, '22': 6, '28': 5, '13': 7, '17': 8, '23': 11, '12': 10, '11': 12, '7': 17, '26': 13, '29': 9, '24': 16, '21': 14, '27': 22, '4': 23, '9': 27, '8': 24, '18': 25, '25': 21, '16': 29, '20': 28, '10': 19, '3': 15, '6': 20, '5': 26, '1': 18}"
30,0.9217891693115234,162.8554573059082,525,"{'15': 1, '19': 2, '14': 3, '2': 4, '22': 6, '28': 5, '13': 7, '17': 8, '23': 11, '12': 10, '11': 12, '5': 9, '7': 17, '26': 13, '29': 14, '24': 16, '21': 20, '27': 22, '4': 15, '9': 18, '8': 21, '18': 24, '25': 25, '16': 19, '20': 27, '10': 28, '3': 23, '6': 30, '30': 26, '1': 29}"
31,2.38981294631958,165.24527025222778,1602,"{'15': 1, '19': 2, '14': 3, '2': 4, '22': 6, '28': 5, '13': 7, '17': 8, '23': 11, '12': 10, '31': 9, '11': 12, '5': 13, '7': 17, '26': 16, '29': 14, '24': 20, '21': 18, '27': 19, '4': 15, '9': 21, '8': 23, '18': 31, '25': 28, '16': 22, '20': 27, '10': 26, '3': 24, '6': 29, '30': 30, '1': 25}"
32,1.161344051361084,166.40661430358887,471,"{'15': 1, '19': 2, '14': 3, '2': 4, '22': 6, '28': 5, '13': 7, '17': 8, '23': 11, '12': 10, '31': 9, '11': 12, '5': 13, '27': 14, '7': 17, '26': 16, '29': 21, '24': 19, '21': 18, '4': 15, '9': 22, '8': 24, '18': 27, '25': 28, '16': 20, '20': 26, '10': 25, '32': 31, '3': 23, '6': 32, '30': 30, '1': 29}"
