n,time,total_time,nodes,results
4,0.0004379749298095703,0.0004379749298095703,38,"{'1': 2, '4': 3, '2': 4, '3': 1}"
5,0.0001380443572998047,0.000576019287109375,30,"{'2': 1, '1': 3, '5': 5, '4': 2, '3': 4}"
6,0.0011489391326904297,0.0017249584197998047,303,"{'6': 2, '2': 3, '1': 5, '5': 4, '4': 6, '3': 1}"
7,0.0010840892791748047,0.0028090476989746094,112,"{'7': 1, '6': 3, '2': 4, '1': 6, '5': 5, '4': 7, '3': 2}"
8,0.0024518966674804688,0.005260944366455078,172,"{'7': 1, '6': 3, '2': 2, '8': 7, '1': 5, '5': 8, '4': 6, '3': 4}"
9,0.007297039031982422,0.0125579833984375,315,"{'7': 1, '6': 3, '2': 2, '8': 6, '9': 8, '1': 5, '5': 7, '4': 9, '3': 4}"
10,0.007863044738769531,0.02042102813720703,205,"{'7': 1, '6': 3, '2': 2, '8': 4, '10': 5, '9': 8, '1': 6, '5': 9, '4': 7, '3': 10}"
11,0.001438140869140625,0.021859169006347656,66,"{'7': 1, '6': 3, '2': 2, '8': 4, '10': 5, '11': 9, '9': 8, '1': 6, '5': 11, '4': 7, '3': 10}"
12,0.17533373832702637,0.19719290733337402,234,"{'7': 1, '6': 3, '2': 2, '8': 4, '10': 5, '11': 9, '9': 10, '1': 6, '5': 8, '4': 12, '12': 11, '3': 7}"
13,0.018399953842163086,0.2155928611755371,260,"{'7': 1, '6': 3, '2': 2, '13': 4, '8': 6, '10': 5, '11': 7, '9': 11, '1': 10, '5': 8, '4': 12, '12': 13, '3': 9}"
14,0.14415907859802246,0.35975193977355957,693,"{'7': 1, '6': 3, '2': 2, '13': 4, '8': 6, '10': 5, '11': 7, '9': 12, '1': 9, '12': 14, '5': 11, '4': 8, '14': 13, '3': 10}"
15,0.12692999839782715,0.4866819381713867,735,"{'7': 1, '6': 3, '2': 2, '13': 4, '8': 6, '10': 5, '11': 7, '15': 8, '9': 12, '1': 9, '12': 14, '5': 11, '4': 15, '14': 13, '3': 10}"
16,0.3332202434539795,0.8199021816253662,2440,"{'7': 1, '6': 3, '2': 2, '13': 4, '16': 5, '8': 6, '10': 9, '11': 7, '15': 10, '9': 13, '1': 11, '12': 14, '5': 8, '4': 16, '14': 15, '3': 12}"
17,0.04543709754943848,0.8653392791748047,408,"{'7': 1, '6': 3, '2': 2, '17': 4, '13': 5, '16': 6, '8': 7, '10': 13, '11': 9, '15': 10, '9': 15, '1': 12, '12': 17, '5': 14, '4': 8, '14': 16, '3': 11}"
18,0.7554559707641602,1.6207952499389648,5085,"{'7': 1, '6': 3, '2': 2, '17': 4, '18': 6, '13': 5, '16': 7, '8': 9, '10': 12, '11': 16, '15': 13, '9': 17, '1': 14, '12': 8, '5': 11, '4': 15, '14': 18, '3': 10}"
19,1.0229308605194092,2.643726110458374,4351,"{'16': 1, '7': 2, '6': 4, '2': 3, '17': 5, '18': 7, '13': 6, '8': 8, '10': 13, '19': 9, '11': 15, '15': 14, '9': 18, '1': 12, '12': 19, '5': 10, '4': 17, '14': 16, '3': 11}"
20,4.5583202838897705,7.2020463943481445,17270,"{'16': 1, '8': 2, '7': 4, '20': 3, '6': 6, '2': 5, '17': 7, '18': 9, '13': 8, '10': 12, '19': 15, '11': 20, '15': 14, '9': 17, '1': 18, '12': 13, '5': 11, '4': 16, '14': 19, '3': 10}"
21,1.4274511337280273,8.629497528076172,3864,"{'16': 1, '8': 2, '12': 3, '7': 4, '20': 6, '21': 8, '6': 7, '2': 5, '17': 10, '18': 13, '13': 9, '10': 14, '19': 18, '11': 21, '15': 15, '9': 11, '1': 17, '5': 16, '4': 12, '14': 19, '3': 20}"
22,0.1419827938079834,8.771480321884155,451,"{'16': 1, '8': 2, '12': 3, '6': 5, '7': 7, '20': 4, '21': 8, '2': 6, '17': 9, '18': 13, '13': 10, '10': 11, '19': 15, '11': 14, '15': 17, '9': 19, '1': 12, '22': 20, '5': 22, '4': 18, '14': 21, '3': 16}"
23,1.3658807277679443,10.1373610496521,2737,"{'16': 1, '8': 2, '12': 3, '6': 5, '21': 4, '7': 7, '20': 6, '2': 10, '17': 12, '18': 14, '13': 11, '10': 13, '19': 8, '11': 17, '15': 19, '9': 22, '23': 20, '1': 18, '22': 23, '5': 16, '4': 9, '14': 21, '3': 15}"
24,6.323983907699585,16.461344957351685,12924,"{'16': 1, '8': 2, '12': 3, '6': 5, '21': 4, '7': 7, '20': 6, '2': 10, '17': 12, '18': 14, '13': 11, '24': 13, '10': 17, '19': 9, '11': 20, '15': 19, '9': 21, '23': 16, '1': 22, '22': 23, '5': 8, '4': 15, '14': 24, '3': 18}"
25,0.796968936920166,17.25831389427185,1600,"{'16': 1, '8': 2, '12': 3, '6': 5, '21': 4, '7': 7, '13': 6, '20': 8, '25': 9, '2': 10, '17': 12, '18': 14, '24': 11, '10': 13, '19': 17, '11': 15, '15': 16, '9': 24, '23': 25, '1': 20, '22': 19, '5': 22, '4': 18, '14': 23, '3': 21}"
26,3.874021053314209,21.13233494758606,6201,"{'16': 1, '8': 2, '12': 3, '6': 5, '21': 4, '7': 7, '13': 6, '15': 11, '20': 8, '25': 9, '2': 10, '17': 12, '18': 15, '24': 13, '10': 14, '19': 17, '11': 20, '9': 23, '23': 26, '1': 22, '22': 24, '26': 18, '5': 25, '4': 16, '14': 21, '3': 19}"
27,1.5965299606323242,22.728864908218384,2079,"{'27': 1, '16': 2, '8': 3, '12': 4, '6': 6, '21': 5, '7': 8, '13': 7, '15': 12, '20': 9, '25': 10, '2': 11, '17': 13, '18': 16, '24': 14, '10': 15, '19': 18, '11': 21, '9': 24, '23': 27, '1': 23, '22': 25, '26': 19, '5': 26, '4': 17, '14': 22, '3': 20}"
28,79.76180005073547,102.49066495895386,73598,"{'27': 1, '16': 2, '8': 3, '12': 4, '6': 6, '21': 5, '7': 8, '13': 7, '15': 12, '1': 9, '20': 10, '25': 13, '2': 11, '17': 15, '18': 17, '24': 20, '10': 23, '19': 24, '11': 18, '9': 27, '23': 14, '22': 25, '26': 28, '14': 26, '5': 16, '28': 21, '4': 19, '3': 22}"
